kbs
0
0
0
0
0
0
0
2368
2368
2368
1738
1738
1738
1803
1803
1803
872
872
872
1157
1157
1157
1466
1466
1466
2011
2011
2011
1567
1567
1567
1632
1632
1632
2830
2830
2608
2614
2614
2437
1609
1609
1400
892
892
963
1126
1126
1344
1423
1423
1160
1018
1018
1110
1185
1185
1464
1756
1756
