kbs
0
0
0
0
0
0
0
1998
1998
1998
1442
1442
1442
1473
1473
1473
1031
1031
1063
1054
1054
1149
1545
1545
1605
2447
2447
2925
3301
3301
3024
3240
3114
3409
3464
3827
3751
3380
3292
4734
4734
4734
4962
4962
4943
4943
4943
4752
4871
4871
4943
5170
5170
4815
4813
4813
4626
4626
4728
3874
