kbs
0
0
0
0
0
0
0
2399
2399
2399
1680
1680
1680
1448
1448
1448
914
914
914
1224
1224
1224
1432
1512
1512
1882
2093
2093
1711
1380
1380
1952
1953
1953
1555
2578
2578
2839
2424
2203
2026
1477
1301
1220
995
915
1102
1187
1257
1096
1248
1237
1238
1088
1070
1272
1514
1520
1700
1731

