kbs
0
0
0
0
0
0
0
1346
1346
1346
1450
1450
1450
1245
1245
1245
920
920
920
1067
1067
1067
1728
1728
1728
2009
2009
2009
1136
1136
1136
2060
2060
2060
2781
2781
2781
2024
2024
2024
1194
1194
1194
980
980
980
1786
1786
1786
1081
1081
1081
1088
1088
1088
1011
1011
1011
2276
2276

